广西玉林市酒店电信,#genre#
浙江卫视,http://110.72.79.71:808/hls/34/index.m3u8
山东卫视,http://110.72.79.71:808/hls/35/index.m3u8
黑龙江卫视,http://110.72.79.71:808/hls/43/index.m3u8
山西卫视,http://110.72.79.71:808/hls/42/index.m3u8
河南卫视,http://110.72.79.71:808/hls/49/index.m3u8
宁夏卫视,http://110.72.79.71:808/hls/50/index.m3u8
江西卫视,http://110.72.79.71:808/hls/41/index.m3u8
甘肃卫视,http://110.72.79.71:808/hls/19/index.m3u8
山东教育,http://110.72.79.71:808/hls/36/index.m3u8
旅游卫视,http://110.72.79.71:808/hls/1/index.m3u8
贵州卫视,http://110.72.79.71:808/hls/52/index.m3u8
陕西卫视,http://110.72.79.71:808/hls/17/index.m3u8
农林卫视,http://110.72.79.71:808/hls/18/index.m3u8
青海卫视,http://110.72.79.71:808/hls/3/index.m3u8
安多卫视,http://110.72.79.71:808/hls/4/index.m3u8
河北卫视,http://110.72.79.71:808/hls/51/index.m3u8
中国电影2,http://110.72.79.71:808/hls/65/index.m3u8
凤凰卫视,http://110.72.79.71:808/hls/62/index.m3u8
凤凰资讯,http://110.72.79.71:808/hls/63/index.m3u8
香港音乐,http://110.72.79.71:808/hls/64/index.m3u8
CCTV-娱乐,http://110.72.79.71:808/hls/66/index.m3u8
凤凰中文HD,http://110.72.79.71:808/hls/83/index.m3u8
香港卫视HD,http://110.72.79.71:808/hls/333/index.m3u8
海峡卫视,http://110.72.79.71:808/hls/72/index.m3u8
北京国际,http://110.72.79.71:808/hls/68/index.m3u8
东方海外,http://110.72.79.71:808/hls/69/index.m3u8
广西公共,http://110.72.79.71:808/hls/202/index.m3u8
广西都市,http://110.72.79.71:808/hls/204/index.m3u8
广西新闻,http://110.72.79.71:808/hls/206/index.m3u8
法治天地,http://110.72.79.71:808/hls/207/index.m3u8
游戏风云,http://110.72.79.71:808/hls/215/index.m3u8
魅力时尚,http://110.72.79.71:808/hls/219/index.m3u8
经典电影,http://110.72.79.71:808/hls/220/index.m3u8
广西高清,http://110.72.79.71:808/hls/1001/index.m3u8
湖南高清,http://110.72.79.71:808/hls/1003/index.m3u8
东方高清,http://110.72.79.71:808/hls/1004/index.m3u8
北京高清,http://110.72.79.71:808/hls/1005/index.m3u8
浙江高清,http://110.72.79.71:808/hls/1006/index.m3u8
江苏高清,http://110.72.79.71:808/hls/1007/index.m3u8
深圳高清,http://110.72.79.71:808/hls/1008/index.m3u8
天津高清,http://110.72.79.71:808/hls/1009/index.m3u8
山东高清,http://110.72.79.71:808/hls/1011/index.m3u8
湖北高清,http://110.72.79.71:808/hls/1010/index.m3u8
广东高清,http://110.72.79.71:808/hls/1002/index.m3u8
金色频道,http://110.72.79.71:808/hls/1021/index.m3u8
